txtAuthor,txtBody_Clean,gd_counts,gd_average,liwc_counts,liwc_averge
Juxtaposition6,aut said:                                                                                                                    Click to expand...,Counter(),0,"Counter({'Verb': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Function': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1})",9
Juxtaposition6,"Detro said:                                    Great post.  Civilization is going to have to change. The bottom 80-50% of men having no chance at all with reproduction is not sustainable. Eventually something is going to have to be done. Whether a beta uprising or something that makes males artificially scarcer then females by killing males off by the billions (if that would even work, females would probably just share the surving top 20% of males).            Click to expand...      It depends on where you live, i believe that conservative, more primitive societies not concerned with technology and who follow strict religious dogma will continue to thrive, the thing that could be done for civilization to sustain itself is to de-evolve and destroy itself before in collapses on itself and dies out, paradoxal.","Counter({'deadline': 2, 'soldier': 1, 'relationship': 1, 'surveillance': 1, 'planning': 1, 'weaponry': 1})",7,"Counter({'Function': 67, 'Verb': 24, 'Prep': 22, 'Relativ': 18, 'FocusPresent': 17, 'CogProc': 16, 'Auxverb': 15, 'Pronoun': 13, 'Social': 11, 'Ipron': 11, 'Space': 10, 'Tentat': 7, 'Adj': 6, 'Conj': 6, 'Compare': 5, 'Drives': 5, 'FocusFuture': 4, 'Motion': 4, 'Male': 4, 'Differ': 4, 'Article': 4, 'Affect': 4, 'Discrep': 4, 'Adverb': 4, 'FocusPast': 3, 'Cause': 3, 'Power': 3, 'Negate': 3, 'Quant': 3, 'Time': 3, 'Female': 2, 'Negemo': 2, 'Anger': 2, 'Death': 2, 'Achieve': 2, 'Interrog': 2, 'Ppron': 2, 'Percept': 1, 'Hear': 1, 'Certain': 1, 'Number': 1, 'Work': 1, 'Posemo': 1, 'Affiliation': 1, 'You': 1, 'Bio': 1, 'Health': 1, 'I': 1, 'Insight': 1, 'Relig': 1})",330
Alfen,This stuff should be taught in school.    Bookmarked.,Counter({'honour': 1}),1,"Counter({'Function': 4, 'Verb': 3, 'Auxverb': 2, 'Work': 2, 'Pronoun': 1, 'Ipron': 1, 'CogProc': 1, 'Discrep': 1, 'FocusPresent': 1, 'Drives': 1, 'Power': 1, 'FocusPast': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1})",22
Hunter,high IQ thread,Counter(),0,"Counter({'Adj': 1, 'Drives': 1, 'Power': 1, 'Relativ': 1, 'Space': 1})",5
Pasteleiro,Great thread.   It's over. Completely over.,Counter(),0,"Counter({'Function': 2, 'Prep': 2, 'Drives': 2, 'Power': 2, 'Relativ': 2, 'Space': 2})",12
Psychocel,Hey @blickpall were you inspired to make this by this thread?,Counter({'deadline': 1}),1,"Counter({'Function': 6, 'Pronoun': 3, 'Verb': 2, 'CogProc': 2, 'Prep': 2, 'Ipron': 2, 'Auxverb': 1, 'FocusPast': 1, 'Ppron': 1, 'You': 1, 'Social': 1, 'Affect': 1, 'Posemo': 1, 'Insight': 1, 'Cause': 1, 'FocusPresent': 1})",27
blickpall,"Psychocel said:                                    Hey @blickpall were you inspired to make this by this thread?            Click to expand...      Haha, I wish I could generate this amount of content in such a short time.    I was already doing research into this field for an unrelated venture and as I was reading I kept stumbling on potential blackpills, so I decided to do some further independent research and reached out to a fair amount of people who I knew were affiliated with the field for their input. This has been in the works for a few weeks.","Counter({'deadline': 1, 'desperation': 1, 'planning': 1, 'honour': 1})",4,"Counter({'Function': 44, 'Verb': 18, 'Prep': 17, 'Relativ': 12, 'CogProc': 11, 'FocusPast': 10, 'Auxverb': 9, 'Space': 8, 'Pronoun': 7, 'Article': 6, 'Social': 5, 'Ipron': 5, 'Adj': 5, 'Insight': 4, 'FocusPresent': 4, 'Quant': 4, 'Conj': 4, 'Cause': 3, 'Adverb': 3, 'Time': 3, 'Work': 3, 'Drives': 3, 'Ppron': 2, 'Affect': 2, 'Posemo': 2, 'Discrep': 2, 'FocusFuture': 2, 'Compare': 2, 'Tentat': 2, 'Achieve': 2, 'Percept': 1, 'Hear': 1, 'You': 1, 'Motion': 1, 'Interrog': 1, 'Affiliation': 1, 'They': 1})",211
fukmylyf,excellent post,Counter(),0,"Counter({'Affect': 1, 'Posemo': 1, 'Drives': 1, 'Achieve': 1, 'Work': 1, 'Relativ': 1})",6
fukmylyf,Alfen said:                                    This stuff should be taught in school.            Click to expand...      it is.,Counter({'honour': 1}),1,"Counter({'Function': 7, 'Verb': 5, 'Auxverb': 3, 'FocusPast': 2, 'Pronoun': 2, 'Ipron': 2, 'FocusPresent': 2, 'Work': 2, 'Prep': 2, 'Relativ': 2, 'Space': 2, 'Social': 1, 'Percept': 1, 'Hear': 1, 'CogProc': 1, 'Discrep': 1, 'Drives': 1, 'Power': 1})",38
thetruecelibate,RodgersSecondAdvent said:                                    it's over            Click to expand...      Its more over than we realize.,Counter(),0,"Counter({'Function': 6, 'Prep': 4, 'Drives': 3, 'Relativ': 3, 'Space': 3, 'Verb': 2, 'Social': 2, 'Pronoun': 2, 'Power': 2, 'Adj': 2, 'Compare': 2, 'CogProc': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Ipron': 1, 'Quant': 1, 'Differ': 1, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'Insight': 1, 'FocusPresent': 1})",44
iblamemyself,"blickpall said:                                    Addendum to 4.7:    Keep in mind that online dating is not only becoming more and more accepted in society, it is also becoming more prevalent in outcome relationships. According to the statistics, 1/3rd of modern marriages arise from relationships that started online on services like OkCupid, Tinder, Match.com, etc. They are far and away the leader in creating unions in same-sex couples, and are already firmly the second-most common point of origin for heterosexual couples (Ortega & Hergovich, 2017). In this rapidly evolving sexual market, it is the people who are worst equipped for online dating that are the ones who are left behind. It is imaginable that if this trend continues, we eventually will see shifts in human biology that reflect the dating and mating strategies and standards that are most successful in online dating.            Click to expand...      That fucking sucks. Imo social media and e-relationships are the lamest thing imaginable. Plus it's full of fakery.","Counter({'relationship': 3, 'paranoia': 1, 'surveillance': 1, 'suicide': 1})",6,"Counter({'Function': 68, 'Relativ': 26, 'Verb': 22, 'Prep': 20, 'Social': 18, 'Drives': 17, 'Space': 15, 'Pronoun': 15, 'Ipron': 14, 'Auxverb': 14, 'FocusPresent': 14, 'Adj': 14, 'CogProc': 13, 'Affiliation': 12, 'Time': 9, 'Compare': 9, 'Conj': 8, 'Affect': 7, 'Article': 7, 'Insight': 6, 'Bio': 6, 'FocusPast': 5, 'Quant': 5, 'Work': 5, 'Sexual': 5, 'Adverb': 4, 'Achieve': 4, 'Negemo': 4, 'Posemo': 3, 'Cause': 3, 'Tentat': 3, 'Percept': 2, 'Differ': 2, 'Interrog': 2, 'FocusFuture': 2, 'Anger': 2, 'Informal': 2, 'Swear': 2, 'Hear': 1, 'Negate': 1, 'Family': 1, 'Power': 1, 'Number': 1, 'Money': 1, 'Risk': 1, 'Discrep': 1, 'Ppron': 1, 'We': 1, 'See': 1, 'Reward': 1, 'Sad': 1})",402
Sadist,bump,Counter(),0,Counter(),0
VincentVanCope,Tsar bomba level blackpill.,Counter(),0,"Counter({'Relativ': 1, 'Space': 1})",2
Virginp0wers,make euthanasia legal and normies wont have to worry about us evil terrorist incels anymore.,"Counter({'deadline': 1, 'murder': 1, 'weaponry': 1})",3,"Counter({'Function': 7, 'Verb': 4, 'FocusPresent': 3, 'Affect': 3, 'Negemo': 3, 'Auxverb': 2, 'Prep': 2, 'Anx': 2, 'Pronoun': 2, 'Drives': 2, 'CogProc': 1, 'Cause': 1, 'Work': 1, 'Conj': 1, 'Negate': 1, 'FocusFuture': 1, 'Adverb': 1, 'Ppron': 1, 'We': 1, 'Social': 1, 'Affiliation': 1, 'Adj': 1, 'Power': 1, 'Ipron': 1, 'Relativ': 1, 'Time': 1})",46
LDPE,@blickpall    https://psmag.com/environment/17-to-1-reproductive-success    Very relevant to your work and with a nice graph you can incorporate,"Counter({'planning': 1, 'soldier': 1, 'help': 1})",3,"Counter({'Function': 8, 'Prep': 3, 'Work': 3, 'Affect': 2, 'Posemo': 2, 'Drives': 2, 'Achieve': 2, 'Adj': 2, 'Pronoun': 2, 'Ppron': 2, 'You': 2, 'Social': 2, 'FocusPresent': 2, 'Relativ': 1, 'Space': 1, 'Reward': 1, 'Conj': 1, 'Article': 1, 'Auxverb': 1})",40
not_here_4_points,"Great work but I'm gonna have to disagree with this comment -                                     blickpall said:                                    This is something that I've given a lot of thought in the past few months and I tend to side with your parenthetical statement.    If there's anything I learned while compiling this post and reading all of the relevant sources, it's that selection is too strong to be weeded out in the foreseeable future. When the environment changes, selection changes with it in order to stay selective. As I mentioned in the post, the concept of what is valuable has changed drastically over the millennia but women consistently seek mates that demonstrate value as a general concept.    The thought process I had was in response to the hypothetical future where all future babies can be genetically modified and that all flaws can be surgically improved (and paid for by the state, as the content of that conversation went). I posited that if the entire male market changed from being 0-10 to being 9.0 to 10.0, then the 9.0s would become the new 0s because selection is contingent on the settings in which it occurs as much if not more than it does on the absolute value of what is being selected. An analogy would be if a low value male traveled to Asia and instantly became a high value male because of the perceived income disparity between him and the rest of his new competition. The same man with the same financial success goes from being middle-of-the-pack to being a top dog simply because he stepped foot in a different continent.    Similarly, a 9.5 who was a GigaChad among men would become a normie in an environment where 50% of all men were more attractive than him. A 1/10 incel would still only rise to the level of normie in a world where everyone above 2/10 was killed. So on and so forth.            Click to expand...      What anyone finds attractive isn't really relative to percentage of population. If every male was Chad-tier then every one would be attractive and it'd be more about other factors.","Counter({'planning': 6, 'soldier': 4, 'loneliness': 2, 'help': 1, 'surveillance': 1})",14,"Counter({'Function': 176, 'Relativ': 56, 'Prep': 54, 'CogProc': 49, 'Verb': 49, 'Auxverb': 34, 'Article': 31, 'Space': 31, 'Pronoun': 27, 'Conj': 23, 'Social': 23, 'Adj': 23, 'FocusPresent': 22, 'Ipron': 22, 'FocusPast': 16, 'Drives': 14, 'Quant': 14, 'Compare': 13, 'Time': 12, 'Differ': 11, 'Motion': 11, 'Affect': 11, 'Adverb': 11, 'Male': 11, 'Tentat': 9, 'Insight': 9, 'Certain': 9, 'Cause': 9, 'Posemo': 8, 'Power': 8, 'Discrep': 8, 'Work': 7, 'FocusFuture': 7, 'Interrog': 7, 'Achieve': 5, 'Ppron': 5, 'Money': 4, 'SheHe': 4, 'Negemo': 3, 'Affiliation': 3, 'Percept': 2, 'Family': 2, 'Informal': 1, 'Netspeak': 1, 'Hear': 1, 'You': 1, 'Female': 1, 'Friend': 1, 'Negate': 1, 'Sad': 1, 'Leisure': 1, 'Reward': 1, 'Bio': 1, 'Body': 1, 'Anger': 1, 'Death': 1, 'Number': 1})",868
TURBO,"Incredible post, OP. Threads compiled with lots of blackpill info are great to have so you can send them to bluepillers                                      Detro said:                                    Great post.  Civilization is going to have to change. The bottom 80-50% of men having no chance at all with reproduction is not sustainable. Eventually something is going to have to be done. Whether a beta uprising or something that makes males artificially scarcer then females by killing males off by the billions (if that would even work, females would probably just share the surving top 20% of males).            Click to expand...      We'll probably see another Nian rebellion:    https://en.wikipedia.org/wiki/Nian_Rebellion                              Political scientists Valerie Hudson and Andrea den Boer suggest that the rebellion was fueled, at least in part, by decades of female infanticide caused by the floods related economic misery, leading to a large population of frustrated young men without any women to marry, perhaps as many as a quarter of all young men in the area being in this category of bare branches            Click to expand...","Counter({'planning': 1, 'deadline': 1, 'soldier': 1, 'relationship': 1, 'surveillance': 1, 'loneliness': 1})",6,"Counter({'Function': 76, 'Prep': 32, 'CogProc': 25, 'Relativ': 23, 'Verb': 20, 'Social': 18, 'Auxverb': 15, 'FocusPresent': 14, 'Space': 12, 'Adj': 11, 'Tentat': 10, 'Drives': 10, 'Quant': 9, 'Pronoun': 9, 'Article': 8, 'Affect': 7, 'Conj': 7, 'Ipron': 7, 'Adverb': 6, 'Compare': 6, 'Power': 6, 'Male': 6, 'Insight': 5, 'Motion': 5, 'Negemo': 5, 'Work': 5, 'Cause': 4, 'Differ': 4, 'Time': 4, 'Female': 4, 'Anger': 4, 'FocusPast': 3, 'FocusFuture': 3, 'Negate': 3, 'Discrep': 3, 'Achieve': 3, 'Posemo': 2, 'Ppron': 2, 'Percept': 2, 'Certain': 2, 'Number': 2, 'Affiliation': 2, 'Reward': 1, 'You': 1, 'They': 1, 'Hear': 1, 'Death': 1, 'See': 1, 'Home': 1, 'Money': 1, 'Anx': 1, 'Sad': 1, 'Family': 1})",415
Weed,LDPE said:                                    @blickpall    https://psmag.com/environment/17-to-1-reproductive-success    Very relevant to your work and with a nice graph you can incorporate                                                                                    Click to expand...      Holy shit I would kill to live 8k years ago tbh tbh,"Counter({'planning': 1, 'soldier': 1, 'help': 1, 'weaponry': 1})",4,"Counter({'Function': 11, 'Prep': 5, 'Relativ': 4, 'Affect': 4, 'Verb': 3, 'Social': 3, 'Work': 3, 'FocusPresent': 3, 'Informal': 3, 'FocusPast': 2, 'Space': 2, 'Posemo': 2, 'Drives': 2, 'Achieve': 2, 'Adj': 2, 'Pronoun': 2, 'Ppron': 2, 'You': 2, 'Auxverb': 2, 'Negemo': 2, 'Anger': 2, 'Bio': 2, 'Time': 2, 'Netspeak': 2, 'Percept': 1, 'Hear': 1, 'Reward': 1, 'Conj': 1, 'Article': 1, 'Body': 1, 'Swear': 1, 'CogProc': 1, 'Discrep': 1, 'Death': 1, 'Health': 1})",80
TG-25,"It’s really good to see the other mods actually contributing content. Before only @Ryo_Hazuki actually posted, and others who post often like @retarded_dumbshit started posting much much less after becoming a mod.","Counter({'honour': 1, 'surveillance': 1, 'relationship': 1})",3,"Counter({'Function': 15, 'CogProc': 7, 'Adverb': 5, 'Differ': 5, 'Verb': 4, 'Relativ': 4, 'Prep': 3, 'Pronoun': 3, 'Ipron': 3, 'Time': 3, 'Compare': 3, 'Quant': 3, 'Article': 2, 'FocusPast': 2, 'Adj': 2, 'Affect': 1, 'Posemo': 1, 'Drives': 1, 'Reward': 1, 'Percept': 1, 'See': 1, 'FocusPresent': 1, 'Conj': 1, 'Interrog': 1, 'Social': 1, 'Tentat': 1, 'Informal': 1, 'Swear': 1, 'Auxverb': 1, 'Insight': 1})",79
Spidey,Its_OVER said:                                    They should have better PERSONALITIES like us and harass lonely men online              Click to expand...,"Counter({'relationship': 1, 'violence': 1})",2,"Counter({'Function': 6, 'Verb': 3, 'Social': 3, 'Affect': 3, 'Auxverb': 2, 'Compare': 2, 'Drives': 2, 'Prep': 2, 'Negemo': 2, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'CogProc': 1, 'Discrep': 1, 'FocusPresent': 1, 'Adj': 1, 'Posemo': 1, 'Achieve': 1, 'Reward': 1, 'Pronoun': 1, 'Ppron': 1, 'We': 1, 'Affiliation': 1, 'Conj': 1, 'Anger': 1, 'Sad': 1, 'Male': 1, 'Relativ': 1, 'Space': 1})",45
blickpall,"not_here_4_points said:                                    Great work but I'm gonna have to disagree with this comment -         What anyone finds attractive isn't really relative to percentage of population. If every male was Chad-tier then every one would be attractive and it'd be more about other factors.            Click to expand...      As long as there is a gradient of attractiveness at all, then women will still be selective and aim to get the most attractive attainable male for themselves. It's an inalienable fact that even in a group of attractive people, one will be the ugliest. If that is the state of the entire sexual market, then women's selectivity will adapt accordingly - just as it has numerous times in the past, as demonstrated in the OP.","Counter({'loneliness': 3, 'soldier': 1, 'weaponry': 1, 'surveillance': 1, 'relationship': 1})",7,"Counter({'Function': 59, 'Prep': 18, 'Verb': 17, 'Relativ': 14, 'Auxverb': 13, 'CogProc': 12, 'Adj': 12, 'Social': 10, 'FocusPresent': 10, 'Conj': 9, 'Article': 9, 'FocusFuture': 8, 'Pronoun': 8, 'Quant': 8, 'Ipron': 7, 'Adverb': 6, 'Time': 6, 'Compare': 6, 'Space': 6, 'Certain': 5, 'Drives': 4, 'FocusPast': 3, 'Differ': 3, 'Achieve': 2, 'Work': 2, 'Affect': 2, 'Negemo': 2, 'Tentat': 2, 'Male': 2, 'Number': 2, 'Female': 2, 'Percept': 1, 'Hear': 1, 'Motion': 1, 'Informal': 1, 'Netspeak': 1, 'Insight': 1, 'Discrep': 1, 'Reward': 1, 'Ppron': 1, 'They': 1, 'Affiliation': 1, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Money': 1})",284
_incelinside,"This thread needs it's own dedicated subforum imo. Great work, i'd love to see normies try and refute this","Counter({'soldier': 1, 'relationship': 1, 'surveillance': 1})",3,"Counter({'Function': 5, 'FocusPresent': 4, 'Verb': 3, 'Pronoun': 3, 'Drives': 3, 'CogProc': 2, 'Ipron': 2, 'Achieve': 2, 'Discrep': 1, 'Adj': 1, 'Work': 1, 'Ppron': 1, 'I': 1, 'Affect': 1, 'Posemo': 1, 'Social': 1, 'Bio': 1, 'Affiliation': 1, 'Prep': 1, 'Percept': 1, 'See': 1, 'Tentat': 1, 'Conj': 1})",39
Italcel,"This thread fucking hurts, it should be permanently pinned on top",Counter(),0,"Counter({'Function': 4, 'Adj': 2, 'Affect': 2, 'Negemo': 2, 'Auxverb': 2, 'Verb': 2, 'Relativ': 2, 'Space': 2, 'Anger': 1, 'Bio': 1, 'Sexual': 1, 'Informal': 1, 'Swear': 1, 'Sad': 1, 'Percept': 1, 'Feel': 1, 'Pronoun': 1, 'Ipron': 1, 'CogProc': 1, 'Discrep': 1, 'FocusPresent': 1, 'Prep': 1, 'Compare': 1, 'Drives': 1, 'Achieve': 1, 'Power': 1})",36
Invisincelble,We can only hope there is a mass internet outage so these apps and dating sites will die.     But then there will be no cope.,"Counter({'god': 1, 'violence': 1})",2,"Counter({'Function': 14, 'Verb': 6, 'Auxverb': 5, 'FocusPresent': 5, 'Adverb': 4, 'FocusFuture': 4, 'Relativ': 4, 'Conj': 3, 'Space': 2, 'Time': 2, 'Affect': 1, 'Posemo': 1, 'CogProc': 1, 'Discrep': 1, 'Tentat': 1, 'Article': 1, 'Pronoun': 1, 'Ipron': 1, 'Informal': 1, 'Netspeak': 1, 'Social': 1, 'Drives': 1, 'Affiliation': 1, 'Death': 1, 'Negate': 1})",64
Bjrgaminggod,"blickpall said:                                    (Rudder, 2009 November)    While this is probably extremely intuitive for the members of this site, it needs to be said: while it is true that on average men reach for women more attractive than themselves, the success rate of these advances is heavily dependent on not only the man's absolute attractiveness but also his relative attractiveness to his target, as can be seen in the graph above. In other words, the chances for unattractive men to bat outside of their league is much lower than it is for every man who is more attractive than him.[/spoiler][/spoiler]                    Spoiler: 4.2: It's over for short men                      The next few subtopics will focus on particular flaws that men have that affect their dating (and mating) chances in the modern era. They will not be as lengthy as the first, as being generally considered unattractive encompasses these elements to varying degrees in every individual, and they are also potentially harder to control for.    One of the reasons why it's hard to control for things like height, for example, is because users on OkCupid and Tinder lie about their height, a lot.                                                                          (Rudder, 2010)    Based on a data set of 1.51 million users, Christian Rudder of OkCupid was able to demonstrate that either OkCupid male users are taller, or they are lying. Furthermore, this means that... as they get closer to six feet [they] round up a bit more than usual, stretching for that coveted psychological benchmark, (2010).    Women are guilty of this too, but due to the nature of selectivity that we have discussed at length, I find it unsurprising that it is much easier to find examples of women taunting short men than it is to find the same interaction with the sexes switched. While the users on this board should be well aware of the many examples, I've included a few here just for posterity and in case someone not in the know is perusing this:                    Spoiler: Suifuel for short men                                                                                                                                                                                                                                                        What some may write off as jokes, memes, or Twitter trolling, has a very real and observable effect on the dating market.                                                                          (Rudder, 2010)    Women consistently message men who are taller, with the trend peaking at just past 6'0'' and continuing until a dip at 6'8''. Clearly, height has an influence on the likelihood of getting initial interest from women. That's not all, however.","Counter({'surveillance': 8, 'planning': 4, 'deadline': 2, 'help': 1, 'weaponry': 1, 'relationship': 1, 'impostor': 1})",18,"Counter({'Function': 195, 'Prep': 71, 'Relativ': 49, 'CogProc': 47, 'Verb': 45, 'Pronoun': 40, 'Adj': 40, 'Social': 39, 'Space': 35, 'FocusPresent': 32, 'Auxverb': 30, 'Ipron': 28, 'Article': 24, 'Compare': 24, 'Drives': 23, 'Conj': 22, 'Quant': 16, 'Differ': 16, 'Adverb': 15, 'Male': 13, 'Time': 12, 'Ppron': 12, 'Affect': 11, 'Tentat': 10, 'Insight': 9, 'Affiliation': 8, 'They': 8, 'Power': 8, 'Cause': 8, 'Percept': 6, 'FocusPast': 6, 'Certain': 6, 'Posemo': 6, 'Achieve': 5, 'Negemo': 5, 'Reward': 4, 'Work': 4, 'Negate': 4, 'FocusFuture': 4, 'Female': 3, 'SheHe': 3, 'Interrog': 3, 'Number': 3, 'Feel': 3, 'Hear': 2, 'Discrep': 2, 'See': 2, 'Bio': 2, 'Motion': 1, 'Sad': 1, 'Sexual': 1, 'Anger': 1, 'Body': 1, 'Anx': 1, 'We': 1, 'Informal': 1, 'Nonflu': 1, 'Leisure': 1, 'Money': 1})",974
masterwizard,"What will the west look like in 20 years? How much longer can this unsustainable model for society continue? If even just 5% of the male workforce of a country dropped out, it would be anarchy. I guess thats why the west is so desperate to import ethincs to plug the gap temporarily.","Counter({'surveillance': 1, 'relationship': 1, 'planning': 1, 'deadline': 1})",4,"Counter({'Function': 25, 'Relativ': 10, 'Prep': 8, 'Verb': 7, 'Space': 7, 'FocusPresent': 7, 'Auxverb': 6, 'Article': 5, 'Adverb': 4, 'CogProc': 4, 'Time': 3, 'Pronoun': 3, 'Ipron': 3, 'Compare': 2, 'Social': 2, 'Tentat': 2, 'FocusFuture': 1, 'Percept': 1, 'See': 1, 'Quant': 1, 'Adj': 1, 'Male': 1, 'Discrep': 1, 'Interrog': 1, 'Cause': 1, 'Conj': 1, 'Affect': 1, 'Negemo': 1, 'Anx': 1})",111
not_here_4_points,"blickpall said:                                    As long as there is a gradient of attractiveness at all, then women will still be selective and aim to get the most attractive attainable male for themselves. It's an inalienable fact that even in a group of attractive people, one will be the ugliest. If that is the state of the entire sexual market, then women's selectivity will adapt accordingly - just as it has numerous times in the past, as demonstrated in the OP.            Click to expand...      But physical attraction is primal, non-logical, it doesn't really depend on contextual settings all that much. If everyone was at least a 9 as you put than no one would need to be left out for reason of attractiveness alone.    There's been a couples users on this site in Eastern Europe where pretty much all the men are ugly potatoheads [so attractiveness more equal than in most places] that insists social circle and status is what really matters there.","Counter({'loneliness': 3, 'relationship': 3, 'weaponry': 1, 'surveillance': 1, 'help': 1})",9,"Counter({'Function': 77, 'Prep': 25, 'Relativ': 22, 'Verb': 21, 'Adj': 19, 'CogProc': 18, 'Space': 16, 'Auxverb': 15, 'Compare': 12, 'FocusPresent': 12, 'Article': 12, 'Quant': 12, 'Social': 11, 'Pronoun': 11, 'Conj': 9, 'Adverb': 9, 'Ipron': 9, 'Certain': 6, 'FocusFuture': 6, 'FocusPast': 5, 'Time': 5, 'Drives': 5, 'Affect': 5, 'Tentat': 4, 'Differ': 4, 'Negemo': 3, 'Bio': 3, 'Percept': 2, 'Female': 2, 'Male': 2, 'Ppron': 2, 'Affiliation': 2, 'Number': 2, 'Anger': 2, 'Posemo': 2, 'Insight': 2, 'Cause': 2, 'Discrep': 2, 'Interrog': 2, 'Hear': 1, 'Reward': 1, 'Achieve': 1, 'They': 1, 'Sexual': 1, 'Work': 1, 'Money': 1, 'Health': 1, 'You': 1, 'Motion': 1, 'Negate': 1, 'Sad': 1, 'Ingest': 1, 'See': 1, 'Power': 1})",395
blickpall,"not_here_4_points said:                                    But physical attraction is primal, non-logical, it doesn't really depend on contextual settings all that much. If everyone was at least a 9 as you put than no one would need to be left out for reason of attractiveness alone.    There's been a couples users on this site in Eastern Europe where pretty much all the men are ugly potatoheads [so attractiveness more equal than in most places] that insists social circle and status is what really matters there.            Click to expand...      I don't think that my argument contradicts the statement that attraction is primal. Logic doesn't have to play a role in selection either. The disagreement comes from the contextual situation. I guess because it's hypothetical we can't know for sure and we will just go in circles about this, but I still posit that female selection is about selecting the best possible outcome, and best will always be relative to the rest and the worst. What women find attractive in men changes on a monthly basis depending on her position in the menstrual cycle, but the fact that she is predisposed to being selective hasn't changed for what is likely to be millions of years.","Counter({'relationship': 3, 'loneliness': 1, 'help': 1, 'planning': 1, 'threat': 1, 'surveillance': 1})",8,"Counter({'Function': 93, 'CogProc': 34, 'Verb': 29, 'Prep': 29, 'Relativ': 29, 'FocusPresent': 20, 'Pronoun': 19, 'Auxverb': 18, 'Space': 18, 'Adj': 16, 'Social': 15, 'Affect': 13, 'Ipron': 13, 'Article': 12, 'Compare': 11, 'Adverb': 9, 'Quant': 9, 'Conj': 9, 'Cause': 8, 'Tentat': 8, 'Posemo': 7, 'Differ': 7, 'Drives': 7, 'Insight': 6, 'Certain': 6, 'Ppron': 6, 'Negemo': 6, 'FocusPast': 5, 'Motion': 5, 'Time': 5, 'Female': 4, 'Interrog': 3, 'Anger': 3, 'Affiliation': 3, 'Power': 3, 'Percept': 2, 'Bio': 2, 'Number': 2, 'Discrep': 2, 'Male': 2, 'We': 2, 'FocusFuture': 2, 'Achieve': 2, 'Reward': 2, 'SheHe': 2, 'Hear': 1, 'Health': 1, 'You': 1, 'Negate': 1, 'Sad': 1, 'Ingest': 1, 'See': 1, 'I': 1, 'Leisure': 1, 'Risk': 1})",518
not_here_4_points,"blickpall said:                                    I don't think that my argument contradicts the statement that attraction is primal. Logic doesn't have to play a role in selection either. The disagreement comes from the contextual situation. I guess because it's hypothetical we can't know for sure and we will just go in circles about this, but I still posit that female selection is about selecting the best possible outcome, and best will always be relative to the rest and the worst. What women find attractive in men changes on a monthly basis depending on her position in the menstrual cycle, but the fact that she is predisposed to being selective hasn't changed for what is likely to be millions of years.            Click to expand...      Fair enough.","Counter({'planning': 1, 'threat': 1, 'relationship': 1, 'surveillance': 1})",4,"Counter({'Function': 57, 'CogProc': 20, 'Verb': 18, 'Relativ': 18, 'Prep': 17, 'FocusPresent': 14, 'Pronoun': 12, 'Social': 11, 'Auxverb': 11, 'Affect': 9, 'Article': 9, 'Space': 8, 'Ipron': 7, 'Adj': 6, 'Conj': 6, 'Cause': 6, 'Ppron': 5, 'Posemo': 5, 'Tentat': 5, 'Drives': 5, 'Time': 5, 'Insight': 4, 'Negemo': 4, 'Compare': 4, 'Motion': 4, 'Adverb': 4, 'Female': 4, 'Differ': 3, 'Certain': 3, 'FocusPast': 2, 'Anger': 2, 'We': 2, 'Affiliation': 2, 'FocusFuture': 2, 'Achieve': 2, 'Power': 2, 'Reward': 2, 'SheHe': 2, 'Percept': 1, 'Hear': 1, 'I': 1, 'Leisure': 1, 'Quant': 1, 'Risk': 1, 'Male': 1, 'Interrog': 1, 'Number': 1})",311
Schizoidcel,It never began for our generation,Counter(),0,"Counter({'Function': 3, 'Relativ': 3, 'Time': 3, 'Adverb': 1, 'Negate': 1, 'CogProc': 1, 'Certain': 1, 'Verb': 1, 'FocusPast': 1, 'Prep': 1, 'Pronoun': 1, 'Ppron': 1, 'We': 1, 'Social': 1, 'Drives': 1, 'Affiliation': 1})",22
Colly,Everyone needs to see this,Counter({'surveillance': 1}),1,"Counter({'Verb': 2, 'FocusPresent': 2, 'Function': 2, 'CogProc': 1, 'Discrep': 1, 'Prep': 1, 'Percept': 1, 'See': 1, 'Pronoun': 1, 'Ipron': 1})",13
ProudIncelistani,aut said:                                                                                                                    Click to expand...,Counter(),0,"Counter({'Verb': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Function': 1, 'Prep': 1, 'Relativ': 1, 'Space': 1})",9
PM_ME_STRIPPERS,RodgersSecondAdvent said:                                    it's over            Click to expand...,Counter(),0,"Counter({'Function': 3, 'Prep': 2, 'Relativ': 2, 'Space': 2, 'Verb': 1, 'Social': 1, 'Percept': 1, 'Hear': 1, 'FocusPast': 1, 'Pronoun': 1, 'Ipron': 1, 'Drives': 1, 'Power': 1})",18
bkdreamkb,It's over,Counter(),0,"Counter({'Function': 1, 'Prep': 1, 'Drives': 1, 'Power': 1, 'Relativ': 1, 'Space': 1})",6
